time,X,Y,Z,E1,E2,S_LP,S_RS,S_WS,R_LP,R_RS,R_WS,MPT,MPA,MPW,LOAD,CONTACT,BEAD_NUMBER,LASER_ON
02_24_14_36_57_960,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.38358,6,False
02_24_14_36_57_976,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41968,0.37455,6,False
02_24_14_36_57_987,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.40935,0.42874,6,False
02_24_14_36_58_003,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.4158,0.39649,6,False
02_24_14_36_58_118,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41064,0.39003,6,False
02_24_14_36_58_142,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.34616,6,False
02_24_14_36_58_157,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.42487,6,False
02_24_14_36_58_165,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.4081,6,False
02_24_14_36_58_173,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.42742,0.39132,6,False
02_24_14_36_58_181,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41064,0.42358,6,False
02_24_14_36_58_196,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.34874,6,False
02_24_14_36_58_196,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.34874,6,False
02_24_14_36_58_215,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.36681,6,False
02_24_14_36_58_223,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.37068,6,False
02_24_14_36_58_240,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.38616,6,False
02_24_14_36_58_248,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.4158,0.38616,6,False
02_24_14_36_58_260,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.41451,0.3952,6,False
02_24_14_36_58_260,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.77523,0.0,0.0,2.41451,0.3952,6,False
02_24_14_36_58_291,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.40935,0.36294,6,False
02_24_14_36_58_299,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41322,0.43648,6,False
02_24_14_36_58_308,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41451,0.35778,6,False
02_24_14_36_58_315,10.0,-0.01,13.5,-0.0,0.0,0,0.01,3.5156,0,0.0,0.0,706.51717,0.0,0.0,2.41193,0.40681,6,False
